ID;Language;Name
0;DE;SAP Konzern
1;DE;SAP SE
11;DE;SAP Dänemark
34;DE;SAP Spanien und Portugal
41;DE;XX SAP AG Russland
73;DE;SAP Taiwan Co., Ltd.
229;DE;XX SAP Portals Schweden
268;DE;XX Tomorrow Now Australien
302;DE;XX Wicom Kommunikations GmbH
312;DE;XX Silk Europa
373;DE;SAP International Panama
401;DE;XX SAP PROPERTIES
463;DE;XX Callidus Cloud NZ Corp.
470;DE;XX RevSym SW Indien Pte Ltd
613;DE;XXSAP/BO Niederlande BV
629;DE;XXSAP/BO Malaysia
632;DE;XXBOBJ China Ltd
672;DE;XXBOBJ Schweiz
705;DE;Christie Partner
731;DE;XXSY KK
732;DE;XXSY Korea, Ltd
765;DE;XXShanghai SFSW Tech.Co.L
787;DE;XXYouCalc, Inc.
805;DE;XXAustralia Branch Office
839;DE;XX Quadrem
864;DE;XXHybris Korea Ltd.
883;DE;Loyalsys GmbH
904;DE;Concur Technol (AU)PtyLtd
906;DE;XXConcur (Österreich) GmbH
924;DE;ConTgo Consulting Limited
949;DE;XXCleartrip Pkg and Trs L
0;EN;EN SAP Konzern
1;EN;EN SAP SE
11;EN;EN SAP Danmark A/S
34;EN;EN XXSAP Espana y Portugal,
41;EN;XXSAP AG Russland
73;EN;SAP Taiwan Co., Ltd.
229;EN;XXSAP Portals Sweden
268;EN;XXTomorrowNow Australia
302;EN;XXWicomCommunicationsGmbH
312;EN;XXSilk Europe, NV
373;EN;SAP International Panama
401;EN;XXSAP PROPERTIES, INC.
463;EN;XXCallidusCloud NZ Corp.
470;EN;XXRevSym SW India Pte Ltd
613;EN;XXSAP/BO Nederland BV
629;EN;XXSAP/BO Malaysia
632;EN;XXBOBJ China Ltd
672;EN;XXBOBJ Switzerland
705;EN;Christie Partners Hldg CV
731;EN;XXSY KK
732;EN;XXSY Korea, Ltd
765;EN;XXShanghai SFSW Tech.Co.L
787;EN;XXYouCalc, Inc.
805;EN;XXAustralia Branch Office
839;EN;XX Quadrem
864;EN;XXHybris Korea Ltd.
883;EN;Loyalsys GmbH
904;EN;Concur Technol (AU)PtyLtd
906;EN;XXConcur (Austria) GmbH
924;EN;ConTgo Consulting Limited
949;EN;XXCleartrip Pkg and Trs L
